t,EER,COP,Q_cond,Q_evap,W_comp,h_eff_mean,A_evap,mean_s_ft,max_s_ft,m_dot_air,v_in_air,T_out_water,T_out_air_mean,T_out_ref,p_ref_evap,superheating,T_sat,p_ref_cond,humidity,air_temp_l,cycle_ph,m_dot_ref,valve_pos,dt
383.37969188376167,[2.4348493454376183],[3.4138256144723638],11794.216348233163,8412.01139088754,[3454.838553625435],22.974783438110805,1.979625219507168,4.6809613544715554e-05,8.264244748310715e-05,1.4620393377487813,1.1894719603305504,32.80502671997385,-4.337125612866093,-0.5763011194669048,199139.1099911446,9.60911860519559,-10.185419724662495,1413472.2244602782,"[0.002648148813081729, 0.0023653098811274847]","[-2.7800083370785518, -4.806396264114137]","[[199139.1099911446, 400729.5985585702], [1413472.2244602782, 464622.73548893933], [1413472.2244602782, 245770.4840383676], [199139.1099911446, 245770.4840383676]]",[0.0540721387142692],20.584155789572524,0.5
383.87969188376167,[2.4371872978564793],[3.414056584220174],11795.668624674465,8420.555732630712,[3455.0302063516583],22.975967090409593,1.979610389338618,4.7111579155814056e-05,8.317115429459839e-05,1.4620201813430551,1.18958105085184,32.805392550242175,-4.337226778514553,-0.5727263423337376,199154.68496046434,9.610715467674595,-10.183441810008333,1413429.0276757677,"[0.002648262827886815, 0.002365479831774051]","[-2.7792688389611166, -4.805286400205019]","[[199154.68496046434, 400732.2214535572], [1413429.0276757677, 464622.1687440136], [1413429.0276757677, 245771.20900516282], [199154.68496046434, 245771.20900516282]]",[0.05407783777353452],20.588804665184117,0.5
384.37969188376167,[2.4359827057351],[3.4142867517049127],11797.103506301351,8416.850197121552,[3455.217550315745],22.977139077362285,1.9795955698492185,4.741329618669454e-05,8.36987488816266e-05,1.462001024937329,1.189688394436825,32.80575714500395,-4.337569972274625,-0.5818824270865548,199171.37750299348,9.599439677582097,-10.181322104668652,1413384.7381522602,"[0.0026483798058957882, 0.0023656543231615366]","[-2.7785101947696265, -4.804146824688172]","[[199171.37750299348, 400723.9904980655], [1413384.7381522602, 464606.38639047334], [1413384.7381522602, 245771.67044137136], [199171.37750299348, 245771.67044137136]]",[0.054087162782080984],20.591823198290545,0.5
384.87969188376167,[2.434464577479859],[3.414515012371507],11798.527670044043,8412.057810572911,[3455.4036597570935],22.97829974113989,1.9795807595956987,4.7714794172672785e-05,8.42254082414811e-05,1.4619818907290598,1.1897942029533177,32.80611597500973,-4.3382053578583255,-0.5865239222891319,199187.4196920112,9.592761192402577,-10.179285114691709,1413342.2921420133,"[0.0026484968899935907, 0.002365828511896862]","[-2.777750979261159, -4.80300954303829]","[[199187.4196920112, 400719.61522165494], [1413342.2921420133, 464596.09624047065], [1413342.2921420133, 245771.99921437982], [199187.4196920112, 245771.99921437982]]",[0.054095084844101325],20.595340946985402,0.5
385.37969188376167,[2.4329088383280477],[3.414743839225602],11799.934525134313,8407.12110469815,[3455.5841025575464],22.979463389711448,1.979565957740494,4.801609016402515e-05,8.47513441144174e-05,1.4619627676195202,1.1899007570277658,32.806470242390674,-4.338782798815602,-0.5881151594610969,199202.70748631825,9.589228874730452,-10.177344034191549,1413299.6240924583,"[0.0026486091557749746, 0.002365995159023101]","[-2.777023290276086, -4.801922257580791]","[[199202.70748631825, 400717.85347365297], [1413299.6240924583, 464589.5565712792], [1413299.6240924583, 245772.45294593307], [199202.70748631825, 245772.45294593307]]",[0.054101957303291724],20.599025217813637,0.5
385.87969188376167,[2.431416686904085],[3.414971466375384],11801.3224104775,8402.392968403212,[3455.7601803341868],22.98062682643778,1.9795511642597226,4.8317184692311065e-05,8.527641159070564e-05,1.461943661158073,1.1900074605372142,32.806821994092616,-4.339357812816155,-0.5922699507110565,199217.97772820678,9.583135347181042,-10.175405297892098,1413255.8848176,"[0.0026487193199075734, 0.002366158446894405]","[-2.7763094528700707, -4.800857371425465]","[[199217.97772820678, 400713.9125437519], [1413255.8848176, 464579.9906786172], [1413255.8848176, 245772.87381433474], [199217.97772820678, 245772.87381433474]]",[0.05410947846464529],20.60238177063883,0.5
386.37969188376167,[2.4300971570577503],[3.4151926747800405],11802.693305291308,8398.264513336786,[3455.9377549764376],22.981788628042786,1.9795363794607268,4.861807168570413e-05,8.580055402775698e-05,1.4619245657953546,1.190113988209866,32.80717085009542,-4.339937238373848,-0.600340821736097,199233.8670455291,9.57304726358825,-10.173388085324348,1413210.1899643734,"[0.002648833508399384, 0.0023663276801876064]","[-2.7755695143910932, -4.799753505698447]","[[199233.8670455291, 400706.62538680615], [1413210.1899643734, 464565.64012546965], [1413210.1899643734, 245773.34978379286], [199233.8670455291, 245773.34978379286]]",[0.054118244177312175],20.60546529085362,0.5
386.87969188376167,[2.4285936198891833],[3.4154118359885937],11804.063706922969,8393.504263622961,[3456.1172338112115],22.982961701517397,1.979521603026328,4.891875765114723e-05,8.632384867435115e-05,1.4619054870807293,1.1902224912654478,32.807517677556746,-4.34023638086388,-0.6033148024847037,199249.2231338879,9.568123884641068,-10.171438687125772,1413167.9436399173,"[0.002648945822435531, 0.0023664944517896268]","[-2.7748419378469986, -4.798666046426228]","[[199249.2231338879, 400703.6860024084], [1413167.9436399173, 464557.47502423497], [1413167.9436399173, 245773.7518307835], [199249.2231338879, 245773.7518307835]]",[0.05412548397247631],20.60905693177629,0.5
387.37969188376167,[2.427266988733876],[3.4156318279146287],11805.423483780074,8389.34526725556,[3456.292738373892],22.984138090354456,1.9795068351024254,4.921923968193385e-05,8.684627013800072e-05,1.4618864194648324,1.190331660626125,32.80786112873028,-4.340436309919653,-0.6102616408633708,199264.77012733073,9.559203532330628,-10.169465173193998,1413124.2217100316,"[0.0026490569022350674, 0.0023666594317745516]","[-2.774122531888435, -4.797590594053747]","[[199264.77012733073, 400697.3635361138], [1413124.2217100316, 464544.5723448813], [1413124.2217100316, 245774.14440252114], [199264.77012733073, 245774.14440252114]]",[0.05413381106105901],20.612114021692346,0.5
387.87969188376167,[2.4259546787962227],[3.415843657059761],11806.774799983226,8385.249280456614,[3456.4740033055514],22.985310941167693,1.9794920764226969,4.951950302559806e-05,8.736757263832918e-05,1.461867374046393,1.1904403437419036,32.80820062091328,-4.340682264463617,-0.619274677159467,199280.881382958,9.548145481706058,-10.167420158865525,1413083.6657050336,"[0.002649172269209948, 0.0023668309457739144]","[-2.773375329133416, -4.796472279737587]","[[199280.881382958, 400689.2690820202], [1413083.6657050336, 464529.1902967178], [1413083.6657050336, 245774.35228718337], [199280.881382958, 245774.35228718337]]",[0.054142830022423864],20.615133501775176,0.5
